NRO,AMBITO,NSE1,NSEGRUP,MACRO_REGION,SEXO,GEDAD,EDAD,NIVEDUGRUP,P1A,P1B,P1C,P1D,P1E,P2A,P2B,P2C,P2D,P3A,P3B,P3C,P3D,P3E,P3F,P3G,P3H,P3I,P3J,P3K,P3L,P4$1_COD,P4$2_COD,P4$3_COD,P4$4_COD,P5$1,P5$2,P5$3,P5OTRO,P6,P7,P8,P9,P10,P11A,P11B,P11C,P11D,P12,P13A,P13B,P13C,P13D,P13E,P14,P15,P16,P17,P18,P19,P20A,P20B,P20C,P20D,P20E,P20F,P20G,P20H,P21A,P21B,P21C,P21D,P22,P23,P24,P25,P26A,P26B,P26C,P26D,P26E,P26F,P26G,P26H,P26I,P26J,P27$1,P27$2,P27OTRO1,P27OTRO2,P28,P29A,P29B,P29C,P29D,P29E,P30,P31,P32A,P32B,P32C,P32D,P32E,P32F,P32G,P32H,P32I,P33,P34,P35,P36,P36OTRO,P37,P37OTRO,P38,P39,P40_0$01,P40_0$02,P40_0$03,P40_0$04,P40_0$05,P40_0$06,P40_0$07,P40_0$08,P40_0$09,P40_0$10,P40_OTRO$09,P40_OTRO$10,P40_MC1$01,P40_MC1$02,P40_MC1$03,P40_MC1$04,P40_MC1$05,P40_MC1$06,P40_MC1$07,P40_MC1$08,P40_MC1$09,P40_MC1$10,P40_MC2$01,P40_MC2$02,P40_MC2$03,P40_MC2$04,P40_MC2$05,P40_MC2$06,P40_MC2$07,P40_MC2$08,P40_MC2$09,P40_MC2$10,P40MC_OTRO$01,P40MC_OTRO$02,P40MC_OTRO$03,P40MC_OTRO$04,P40MC_OTRO$05,P40MC_OTRO$06,P40MC_OTRO$07,P40MC_OTRO$08,P40MC_OTRO$09,P40MC_OTRO$10,P41A,P41B,P41C,P41D,P42,P43A,P43B,P43C,P43D,P44A$1,P44A$2,P44B$1,P44B$2,P44C$1,P44C$2,P44D$1,P44D$2,P44E,P45$1,P45$2,P45OTRO,P46$1,P46$2,P46OTRO,P47$1,P47$2,P47OTRO,P48$1,P48$2,P48OTRO,P49$1,P49$2,P49OTRO,P50$1,P50$2,P50OTRO,P51$1,P51$2,P52$1,P52$2,P53$1,P53$2,P53OTRO,P54$1,P54$2,P54OTRO,P55A,P55B,P55C,P55D,P55E,P55F,P55G,P56,P57_RECODIFICADA,P57_AGRUPADA,P57_IGLESIAS,P58,P59A,P59B,P59C,P59D,P59E,P60,P61,P62,P63A,P63B,P63C,P63D,P64A,P64B,P64C,P64D,P64E,P65A,P65B,P65C,P65D,P65E,P65F,P65G,P65H,P65I,P66A,P66B,P66C,P66D,P66E,P66F,P66G,P66H,P66I,P67$01,P67$02,P67$03,P67$04,P67$05,P67$06,P67$07,P67$08,P67$09,P67$10,P67$11,P67$12,P67$13,P67$14,P67$15,P67$16,P67OTRO,P68$01,P68$02,P68$03,P68$04,P68$05,P68$06,P68$07,P68$08,P68$09,P68$10,P68$11,P68$12,P68$13,P68$14,P68$15,P68$16,P68OTRO,P69$01,P69$02,P69$03,P69$04,P69$05,P69$06,P69$07,P69$08,P69$09,P69$10,P69$11,P69$12,P69$13,P69$14,P69$15,P69$16,P69OTRO,P70,P70OTRO,P71,P72,P73,P73OTRO,P74,P75,P75OTRO,P76,P77,P78,P79,P82,P83A,P83B,P83C,P83D,P83E,P83F,P83G,P83OTRO,P84,P85,P92,P80,P81,P101,P102
11,1,3,2,1,1,2,34,2,2,2,1,2,2,2,1,1,1,3,3,3,2,2,2,3,3,2,2,1,2,9,7,,,1,3,7,"",4,2,4,2,5,1,4,4,2,3,2,2,2,2,3,7,3,2,2,2,4,3,3,3,3,2,3,3,3,3,4,2,4,3,4,4,2,2,3,3,3,2,2,2,3,2,3,3,6,"","",3,1,1,1,1,1,2,3,2,3,2,3,3,3,2,2,2,3,3,2,1,"",3,"",2011,1,1,1,1,1,1,2,2,2,2,2,"","",3,3,3,3,3,,,,,,7,7,7,7,7,,,,,,"","","","","","","","","","",2,1,2,1,5,6,6,2,3,5,13,15,21,21,30,30,50,50,1,3,"",2,1,"",2,4,"",2,4,"",2,3,"",2,1,"",3,5,2,6,7,5,"",1,2,"",26,30,20,18,60,60,70,1,1,1,"",2,2,2,3,3,3,2,2,2,1,1,1,2,2,2,2,2,2,4,4,2,4,4,4,2,4,4,1,1,1,2,2,2,2,1,1,5,6,,,,,,,,,,,,,,,"",11,15,,,,,,,,,,,,,,,"",1,5,,,,,,,,,,,,,,,"",2,"",1,2,7,"",1,6,"",4,2,1,1,2,,,,,,,,"",5,1,3,1,12,3,2
12,1,3,2,1,1,1,29,4,2,8,2,2,2,2,2,2,2,3,3,4,2,3,3,2,1,2,2,2,2,3,7,,,3,1,2,"",2,2,2,2,3,5,5,7,4,2,3,2,2,2,3,5,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,3,4,4,1,3,3,3,3,3,2,2,3,3,2,3,5,"","",3,1,1,1,1,1,3,3,2,2,2,3,2,1,2,2,2,4,2,3,1,"",3,"",2007,1,2,1,2,2,2,2,2,2,1,2,PRIMA,"",,6,,,,,,,6,,,7,,,,,,,7,,"",TELF. PUBLICO,"","","","","","",TELEF. PUBLICO,"",7,1,1,1,2,4,4,7,6,2,12,12,18,18,25,30,50,50,1,2,"",1,2,"",5,2,"",5,3,"",5,2,"",5,1,"",6,8,6,8,5,2,"",5,2,"",25,30,20,18,65,50,100,1,1,1,"",2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,3,4,3,4,4,4,4,4,2,4,1,1,2,2,2,2,2,2,3,5,6,7,,,,,,,,,,,,,,"",5,7,12,,,,,,,,,,,,,,"",5,7,8,12,,,,,,,,,,,,,"",1,"",3,5,5,"",1,6,"",4,2,1,1,1,2,2,1,2,2,2,2,"",8,1,2,3,20,3,1
13,1,4,3,1,2,1,28,2,2,2,1,1,2,1,1,1,1,3,2,3,3,2,3,1,3,3,2,3,3,7,3,,,7,3,8,"",2,2,3,2,4,6,4,5,7,4,3,2,3,3,3,88,3,2,8,2,3,3,2,3,3,3,3,3,3,4,3,2,3,3,4,3,1,2,3,3,3,2,2,2,3,3,3,3,7,"","",3,2,1,1,1,1,3,2,2,2,3,2,2,2,3,2,2,4,3,3,3,"",1,"",2009,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",7,1,3,3,1,5,4,4,5,1,7,13,18,19,30,30,50,50,1,2,"",1,2,"",1,5,"",1,4,"",4,1,"",3,5,"",4,7,4,6,4,3,"",1,7,"",25,28,20,18,66,60,90,1,1,1,"",3,3,3,3,3,2,2,2,4,1,3,2,4,3,3,3,9,8,3,3,3,3,3,3,4,3,1,3,3,3,3,4,4,3,3,2,4,11,12,,,,,,,,,,,,,,"",1,2,3,5,6,8,9,13,14,15,,,,,,,"",88,,,,,,,,,,,,,,,,"",1,"",8,6,10,"",2,6,"",7,3,1,1,1,1,2,2,2,2,2,2,"",5,3,4,6,,2,3
14,1,3,2,1,1,2,42,2,1,8,1,1,8,1,8,1,8,2,2,1,2,1,2,1,1,2,2,2,2,1,4,,,8,3,5,"",2,3,2,2,5,5,2,2,7,3,2,2,2,3,3,2,3,1,1,1,2,2,2,3,2,3,3,2,2,2,1,3,4,8,3,3,1,2,3,3,3,3,3,2,3,3,1,1,5,"","",3,1,1,2,2,2,3,8,1,8,2,8,8,8,2,1,1,2,2,3,1,"",1,"",1976,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",8,1,1,2,4,4,4,2,4,3,9,15,21,21,30,30,60,65,2,1,"",2,5,"",2,4,"",2,4,"",2,1,"",1,2,"",6,8,3,6,3,5,"",7,8,"",18,25,40,16,65,40,888,3,,,"",,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,1,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,8,8,3,4,5,6,12,,,,,,,,,,,,"",5,9,10,12,,,,,,,,,,,,,"",6,12,14,15,,,,,,,,,,,,,"",4,"",3,2,3,"",1,5,"",7,2,1,1,1,1,2,2,2,2,2,2,"",5,3,2,1,3,2,2
15,1,2,1,1,2,3,45,4,2,2,1,2,1,1,2,1,2,2,2,4,4,4,4,2,2,4,2,2,1,3,9,21,,1,8,3,"",4,2,3,2,3,3,2,6,2,2,2,1,1,1,2,9,1,2,1,1,2,3,3,3,3,3,3,3,3,4,3,3,3,2,4,4,1,3,2,3,3,2,2,2,3,3,2,1,3,"","",3,1,1,2,1,1,2,3,3,3,3,3,2,2,2,2,2,5,2,2,1,"",1,"",2007,1,2,2,1,2,2,2,2,2,2,2,"","",,,2,,,,,,,,,,1,,,,,,,,"","","","","","","","","","",4,1,4,1,3,5,4,4,3,2,7,10,14,15,19,45,60,60,1,2,"",1,2,"",2,3,"",4,3,"",5,2,"",2,1,"",2,3,7,3,2,7,"",2,7,"",25,25,25,23,60,50,75,1,1,1,"",1,3,2,3,2,2,2,2,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,1,1,3,2,3,2,3,2,3,2,5,6,7,,,,,,,,,,,,,"",7,12,15,,,,,,,,,,,,,,"",5,7,12,,,,,,,,,,,,,,"",1,"",2,5,10,"",1,7,"",6,3,1,1,1,2,2,1,2,2,2,2,"",9,2,2,4,,3,1
16,1,3,2,1,2,2,43,2,2,2,1,1,1,1,2,1,1,3,2,4,2,3,1,2,2,2,3,1,3,9,5,,,3,1,6,"",3,3,3,2,3,1,1,1,2,8,2,1,1,2,3,1,2,2,2,1,3,2,3,3,2,3,3,2,2,4,4,3,4,1,4,5,1,2,2,2,3,2,2,2,3,3,2,2,88,"","",3,1,1,1,1,1,1,2,3,3,3,3,2,2,8,8,2,5,3,3,1,"",1,"",2007,1,1,1,2,1,2,2,2,2,2,2,"","",1,1,,1,,,,,,,7,7,,7,,,,,,,"","","","","","","","","","",6,1,1,5,3,3,8,4,4,1,10,13,16,17,20,25,50,50,1,4,"",3,5,"",4,2,"",4,3,"",3,1,"",2,4,"",8,9,8,9,1,2,"",1,2,"",30,32,25,24,50,50,60,1,2,2,CRISTIANA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,2,5,6,7,8,12,,,,,,,,,,,,"",2,7,9,,,,,,,,,,,,,,"",2,5,6,7,14,,,,,,,,,,,,"",1,"",4,2,5,"",2,1,"",4,2,1,2,2,,,,,,,,"",5,1,2,1,2,2,2
17,1,3,2,1,1,2,36,3,2,2,2,2,2,1,2,2,2,3,3,4,2,2,2,2,2,2,2,3,1,3,8,,,3,1,8,"",3,3,3,3,5,7,5,7,7,3,3,2,2,2,2,10,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,1,2,3,4,3,2,2,3,3,3,3,2,2,3,3,3,3,2,"","",3,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,5,3,3,1,"",4,"",2008,1,2,1,2,2,1,2,2,2,2,2,"","",,2,,,2,,,,,,,7,,,7,,,,,,"","","","","","","","","","",3,1,1,1,5,3,3,2,2,3,13,15,18,18,30,30,50,60,1,3,"",2,1,"",1,2,"",1,2,"",2,1,"",1,4,"",6,5,3,2,3,7,"",2,6,"",27,30,30,18,-1,60,100,1,1,1,"",2,4,2,3,2,2,2,2,2,2,1,2,2,2,1,3,2,2,4,3,4,4,3,3,4,4,4,1,1,2,1,2,2,1,2,2,5,6,7,80,,,,,,,,,,,,,"BALLENATO, BACHATA",5,7,8,10,11,12,,,,,,,,,,,"",5,15,,,,,,,,,,,,,,,"",1,"",3,2,5,"",1,7,"",3,1,1,1,1,1,2,2,2,2,2,2,"",6,3,2,1,20,3,1
18,1,3,2,1,2,3,60,4,1,8,1,2,2,2,2,2,8,1,3,3,2,2,2,1,2,2,1,3,1,3,112,,,7,3,8,"",2,3,3,3,4,5,4,7,7,1,2,1,2,1,3,10,1,1,1,1,2,3,3,3,3,3,3,3,3,3,2,1,3,2,2,3,2,2,3,3,3,2,2,2,3,3,3,5,2,"","",3,1,2,1,1,1,3,3,3,3,4,4,3,2,2,2,3,4,3,3,1,"",5,PARROQUIA,2007,1,2,2,2,1,2,2,2,2,1,1,TIOS,AMIGOS,,,,1,,,,,1,1,,,,7,,,,,7,7,"","","","","","","","","","",6,1,2,1,5,4,2,3,3,5,11,12,16,18,25,30,50,60,1,4,"",1,2,"",1,4,"",4,2,"",2,4,"",1,2,"",6,2,9,6,3,7,"",2,8,"",25,27,35,18,65,60,80,1,1,1,"",1,2,1,4,2,4,2,2,2,1,2,1,1,2,1,2,2,3,4,4,4,4,4,4,4,4,4,1,2,1,2,2,2,2,2,2,2,6,7,13,,,,,,,,,,,,,"",6,15,,,,,,,,,,,,,,,"",5,6,,,,,,,,,,,,,,,"",1,"",4,2,5,"",1,7,"",3,2,1,1,1,1,2,2,2,2,2,2,"",9,3,2,6,,3,1
19,1,2,1,1,2,3,57,2,2,2,2,1,2,1,2,1,2,4,4,2,4,2,2,1,1,2,4,4,1,9,112,,,3,7,1,"",3,3,3,2,4,5,1,1,7,1,3,3,3,2,3,7,3,2,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3,3,3,3,2,1,1,3,3,3,3,1,"","",1,1,2,2,1,1,3,2,2,1,4,4,2,8,2,2,1,4,3,3,1,"",1,"",8888,1,1,1,2,1,2,2,2,2,2,2,"","",2,2,,2,,,,,,,7,7,,7,,,,,,,"","","","","","","","","","",7,1,1,7,1,7,1,1,5,5,10,12,16,18,25,30,50,51,2,1,"",2,1,"",5,2,"",2,4,"",5,1,"",5,1,"",5,4,7,4,2,3,"",1,8,"",20,25,25,20,50,40,70,1,1,1,"",1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,3,3,2,4,4,1,4,4,4,4,2,4,1,1,1,1,1,1,1,1,1,1,5,6,,,,,,,,,,,,,,"",5,7,8,12,,,,,,,,,,,,,"",5,7,,,,,,,,,,,,,,,"",1,"",2,3,5,"",1,7,"",6,2,1,1,1,1,2,2,2,2,2,2,"",5,3,2,6,,3,1
20,1,3,2,1,1,3,46,3,2,1,1,2,2,2,2,2,1,3,2,1,2,2,3,3,1,1,4,2,2,7,3,,,7,3,2,"",2,2,3,1,4,5,5,7,7,1,3,3,3,2,3,4,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,1,2,2,4,4,3,2,3,3,3,2,2,2,3,3,3,3,2,"","",3,1,1,1,1,1,3,2,3,4,2,4,2,2,2,2,2,5,3,3,1,"",3,"",8888,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",6,1,2,1,4,4,3,4,3,10,14,15,20,20,40,50,70,71,1,2,"",1,2,"",1,4,"",1,4,"",4,1,"",5,1,"",4,8,4,8,3,1,"",6,1,"",28,30,30,18,55,50,70,1,1,1,"",2,3,1,2,3,2,2,2,2,2,1,1,2,2,1,3,2,2,4,4,4,4,4,4,4,4,4,1,2,2,1,1,1,2,1,1,5,6,,,,,,,,,,,,,,,"",5,7,,,,,,,,,,,,,,,"",5,,,,,,,,,,,,,,,,"",1,"",3,2,5,"",1,1,"",6,4,1,2,1,2,2,1,2,1,2,2,"",6,2,1,3,20,3,1
21,1,3,2,1,2,2,36,4,1,8,1,1,2,2,8,2,2,3,2,3,4,3,3,2,3,2,2,3,1,3,89,,,3,7,8,"",3,2,3,3,3,5,3,6,4,2,2,2,2,1,3,7,1,2,2,1,3,3,3,3,3,3,3,3,3,4,3,1,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,5,2,"","",4,1,1,1,1,1,3,2,4,4,3,4,2,1,1,2,2,4,3,2,3,"",1,"",2007,1,1,2,2,2,1,2,2,2,1,2,TIOS,"",2,,,,2,,,,2,,7,,,,3,,,,3,,"","","","","","","","","","",7,1,1,3,6,4,3,2,1,5,10,12,16,18,25,28,45,50,1,2,"",1,2,"",1,2,"",1,2,"",2,5,"",2,5,"",6,5,2,5,5,3,"",2,1,"",28,28,25,20,50,45,90,1,1,1,"",2,2,2,1,2,2,2,2,2,2,1,3,2,1,2,3,1,1,4,4,4,4,4,4,4,4,4,2,1,1,1,1,2,2,1,1,1,4,5,,,,,,,,,,,,,,"",5,7,8,,,,,,,,,,,,,,"",5,15,,,,,,,,,,,,,,,"",1,"",2,5,5,"",1,7,"",3,2,1,1,1,2,2,1,2,2,2,2,"",8,2,1,3,20,3,1
22,1,3,2,1,2,1,26,4,2,1,1,1,2,1,2,2,1,3,4,3,2,2,3,2,3,3,3,2,3,5,9,,,3,7,8,"",3,3,2,2,3,6,5,6,5,3,3,1,2,2,3,6,2,2,2,1,3,3,3,3,3,3,3,3,3,4,3,1,2,2,4,3,1,2,3,3,3,3,3,3,3,3,3,6,2,"","",3,1,1,2,1,1,3,3,3,3,3,4,3,2,3,2,1,4,3,3,3,"",1,"",2007,1,2,2,2,2,1,2,2,2,1,2,ABUELA,"",,,,,2,,,,,2,,,,,-1,,,,,7,"","","","","","","","","","",3,3,3,3,3,4,3,3,3,5,11,12,17,18,26,27,40,50,1,2,"",2,4,"",3,1,"",4,1,"",5,2,"",5,4,"",2,7,6,2,3,8,"",8,3,"",29,30,25,18,55,48,90,1,1,1,"",2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,2,3,2,4,4,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,1,2,3,5,6,,,,,,,,,,,,,"",5,7,11,12,15,,,,,,,,,,,,"",5,7,11,12,15,,,,,,,,,,,,"",6,"",2,2,6,"",1,1,"",4,3,1,1,1,2,1,2,2,1,2,2,"",8,3,2,3,20,3,1
23,1,3,2,1,1,3,46,3,1,2,8,2,8,2,8,2,8,3,4,4,4,2,3,2,2,2,2,2,1,3,7,,,7,3,1,"",3,2,2,2,4,5,3,5,7,2,2,2,1,1,1,6,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,1,3,4,3,2,3,2,3,3,3,3,2,2,3,3,3,3,5,"","",4,1,1,1,1,1,3,3,3,4,3,4,2,1,2,2,2,4,3,3,3,"",1,"",2006,1,2,1,1,2,2,2,2,2,2,2,"","",,2,2,,,,,,,,,7,7,,,,,,,,"","","","","","","","","","",7,2,1,2,5,4,4,2,2,3,10,12,17,18,20,25,50,51,1,2,"",1,3,"",1,2,"",1,4,"",3,2,"",1,2,"",3,7,7,4,3,2,"",3,2,"",30,30,27,18,50,50,80,1,1,1,"",2,3,3,1,4,2,2,2,3,1,2,1,1,2,1,4,2,1,4,3,4,4,4,3,3,4,4,1,2,2,1,1,1,1,1,1,5,,,,,,,,,,,,,,,,"",5,7,8,15,,,,,,,,,,,,,"",5,15,,,,,,,,,,,,,,,"",1,"",2,2,5,"",1,7,"",5,1,1,1,1,2,2,2,2,2,2,2,"",7,1,1,1,10,3,1
24,1,3,2,1,1,1,18,3,1,8,8,8,1,2,1,2,1,3,2,3,3,2,2,2,3,3,3,2,1,7,77,,,3,6,5,"",4,3,1,2,5,7,7,7,7,4,3,2,2,2,2,88,1,2,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,1,2,3,3,3,2,3,3,3,3,3,2,1,"","",4,1,1,1,1,1,3,2,3,4,4,4,2,2,2,2,2,5,3,3,1,"",1,"",8888,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",3,1,1,2,4,4,3,2,2,5,10,11,17,18,27,28,37,63,1,2,"",1,2,"",1,3,"",1,4,"",3,4,"",5,2,"",2,3,7,8,7,6,"",3,7,"",31,28,25,21,62,40,80,1,1,1,"",2,2,1,3,2,2,2,2,1,1,2,1,1,2,3,2,3,3,4,4,4,4,4,4,4,4,4,2,2,2,2,1,2,2,2,1,7,12,15,,,,,,,,,,,,,,"",14,15,,,,,,,,,,,,,,,"",5,12,,,,,,,,,,,,,,,"",1,"",3,2,5,"",1,7,"",12,5,1,2,1,2,2,1,2,2,1,2,"",6,3,1,7,,3,1
25,1,3,2,1,1,3,77,2,1,2,2,2,1,1,2,1,2,2,3,2,3,3,4,2,2,2,2,3,2,3,7,,,3,7,1,"",2,2,2,2,3,2,2,2,7,3,2,3,2,1,3,6,1,1,1,1,2,3,3,3,3,3,3,3,3,4,3,1,2,3,4,4,2,2,2,2,3,2,2,2,3,2,2,5,3,"","",3,1,1,1,1,1,3,3,2,2,2,3,3,2,2,2,2,3,3,3,1,"",1,"",2010,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",5,4,3,3,5,5,3,4,4,6,16,17,24,25,55,56,90,91,1,2,"",1,3,"",1,3,"",1,2,"",2,5,"",2,5,"",3,2,6,7,4,6,"",7,8,"",28,28,20,18,60,60,95,1,1,1,"",2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,3,4,4,4,4,4,3,3,4,4,1,1,1,1,2,2,1,1,1,8,9,,,,,,,,,,,,,,,"",5,11,,,,,,,,,,,,,,,"",5,11,,,,,,,,,,,,,,,"",1,"",4,2,7,"",1,7,"",5,3,1,1,2,,,,,,,,"",5,1,2,1,12,3,1
26,1,3,2,1,1,3,45,2,2,2,1,1,2,2,1,1,2,4,3,2,3,3,3,2,2,2,2,3,4,3,10,,,3,5,7,"",4,3,3,3,5,2,3,3,7,4,2,1,2,1,4,5,2,2,2,2,3,2,3,3,1,2,3,2,3,4,3,3,2,4,4,4,2,2,2,2,3,3,2,2,2,3,3,5,7,"","",3,1,1,1,1,1,3,2,2,3,3,3,3,2,2,2,2,5,3,3,1,"",1,"",2017,1,2,2,1,2,2,2,2,2,2,2,"","",,,2,,,,,,,,,,3,,,,,,,,"","","","","","","","","","",6,4,3,3,2,3,2,2,1,5,11,12,16,17,39,40,79,80,2,1,"",1,2,"",1,5,"",1,2,"",2,5,"",2,5,"",2,6,7,8,4,6,"",8,7,"",24,24,18,18,65,70,99,1,1,1,"",2,3,2,2,3,3,2,2,2,2,3,3,2,2,3,3,2,2,4,4,4,4,4,2,2,4,4,1,1,1,2,2,2,1,1,1,6,7,,,,,,,,,,,,,,,"",6,7,10,,,,,,,,,,,,,,"",11,12,,,,,,,,,,,,,,,"",1,"",4,3,5,"",1,7,"",4,2,1,1,2,,,,,,,,"",5,3,2,4,,3,1
27,1,4,3,1,2,3,55,1,2,2,1,1,1,1,2,1,1,4,3,4,2,2,3,1,2,2,2,2,2,10,3,,,1,3,80,FALTA DE TRABAJO,5,8,4,8,5,2,2,7,7,4,2,2,2,2,2,88,1,8,8,8,4,3,3,3,3,3,3,3,3,4,4,4,3,4,3,2,1,3,3,3,3,3,3,3,3,3,3,88,88,"","",2,2,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,5,8,8,3,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",3,3,3,3,8,3,2,2,2,2,12,16,18,12,16,18,60,50,1,7,"",1,7,"",1,7,"",1,7,"",88,88,"",88,88,"",6,88,88,88,5,3,"",5,3,"",20,20,888,10,888,50,888,1,1,1,"",2,2,8,8,8,8,2,2,8,8,8,2,8,8,8,3,8,-1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,5,12,,,,,,,,,,,,,,,"",12,,,,,,,,,,,,,,,,"",12,,,,,,,,,,,,,,,,"",1,"",4,2,3,"",2,7,"",5,5,1,2,2,,,,,,,,"",3,1,2,1,12,2,2
28,1,4,3,1,2,1,19,2,2,2,2,1,1,1,1,2,2,2,1,2,3,3,3,2,2,2,2,3,4,3,7,,,3,7,1,"",4,4,4,4,4,2,2,3,6,3,3,1,1,1,4,7,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,2,2,3,4,4,1,2,2,2,2,3,3,3,2,2,2,3,5,"","",3,1,1,1,1,1,3,2,2,4,3,3,2,2,2,2,2,4,3,3,1,"",1,"",2017,2,,,,,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","",6,4,3,1,3,3,3,2,2,5,14,15,17,18,24,25,49,50,1,4,"",5,1,"",5,1,"",1,2,"",5,4,"",5,4,"",2,6,5,6,6,8,"",8,4,"",19,19,18,18,50,50,88,1,1,1,"",2,2,3,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,4,4,4,4,4,3,3,4,4,1,1,1,1,1,2,2,1,1,5,6,14,,,,,,,,,,,,,,"",5,6,,,,,,,,,,,,,,,"",5,14,,,,,,,,,,,,,,,"",1,"",3,2,4,"",1,7,"",5,2,1,1,2,,,,,,,,"",5,3,2,7,,3,1
29,1,4,3,1,2,2,37,2,2,1,2,1,2,2,2,2,1,3,3,3,3,2,2,2,2,2,2,3,3,3,7,,,3,7,1,"",4,4,4,4,3,2,2,2,5,2,3,2,2,1,4,7,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,2,2,4,4,5,1,2,2,3,3,3,3,3,3,3,2,3,5,"","",4,1,1,1,1,1,3,2,2,4,4,4,2,2,2,3,2,5,3,3,1,"",1,"",2010,1,1,1,2,2,2,2,2,2,2,2,"","",3,3,,,,,,,,,2,2,,,,,,,,,"","","","","","","","","","",6,4,2,1,5,4,2,2,1,3,10,11,17,18,23,24,59,60,1,2,"",1,3,"",1,2,"",1,2,"",2,5,"",2,5,"",6,7,5,2,8,6,"",4,3,"",26,26,21,22,55,54,90,1,1,1,"",3,3,3,3,3,2,1,2,2,2,2,3,3,2,3,3,2,3,4,4,4,4,4,3,3,4,4,1,1,1,1,1,1,2,2,1,5,6,7,,,,,,,,,,,,,,"",11,12,14,15,,,,,,,,,,,,,"",5,,,,,,,,,,,,,,,,"",1,"",3,3,5,"",1,7,"",3,2,1,1,2,,,,,,,,"",5,3,2,6,,3,1
30,1,3,2,1,2,1,21,2,2,2,1,2,2,1,2,2,1,3,3,3,3,3,4,3,3,3,3,3,4,3,112,,,3,1,2,"",5,5,5,4,4,2,2,2,7,3,2,3,2,3,3,7,2,2,2,2,3,3,3,3,3,3,3,3,3,4,3,1,2,4,4,5,1,2,2,2,3,3,3,3,3,3,2,5,4,"","",3,1,1,1,1,1,3,2,2,3,3,3,2,2,2,2,2,5,3,3,1,"",1,"",2017,1,2,1,2,2,2,2,2,2,2,2,"","",,2,,,,,,,,,,3,,,,,,,,,"","","","","","","","","","",6,3,3,2,4,3,2,2,2,5,14,15,16,17,19,20,69,70,1,2,"",1,2,"",1,2,"",1,3,"",5,2,"",5,2,"",4,6,5,2,2,3,"",1,6,"",20,20,19,20,60,55,888,1,2,2,SEMILLA DE AMOR,2,2,2,3,2,2,2,2,2,2,2,1,2,2,3,3,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,1,2,1,80,,,,,,,,,,,,,,,,MUSICA EVANGELICA,5,7,11,12,14,15,,,,,,,,,,,"",5,11,12,,,,,,,,,,,,,,"",1,"",3,1,5,"",1,7,"",4,2,1,1,2,,,,,,,,"",5,3,2,6,,3,1
